epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,280.266,1.76445,1.5085,0.98063,0.7403,0.69325,0.65888,0.25593,2.23901,1.49671,1.05463,0.00333186,0.00333186,0.00333186
2,522.22,1.6292,0.97722,0.9546,0.81382,0.71285,0.72877,0.30947,2.2136,1.40523,1.09641,0.0066212,0.0066212,0.0066212
3,759.394,1.63399,0.91489,0.96421,0.76237,0.67707,0.70267,0.32174,2.08426,1.45853,1.08914,0.00986654,0.00986654,0.00986654
4,996.816,1.58667,0.85021,0.95541,0.74466,0.66892,0.63662,0.26073,2.20381,1.55691,1.07642,0.009802,0.009802,0.009802
5,1235.81,1.50461,0.77844,0.94219,0.7749,0.69395,0.69821,0.28951,2.20074,1.42065,1.09224,0.009736,0.009736,0.009736
6,1475.6,1.45261,0.73515,0.93309,0.81267,0.70982,0.71965,0.34512,2.05969,1.39963,1.08196,0.00967,0.00967,0.00967
7,1716.99,1.41643,0.70197,0.9219,0.80525,0.70069,0.70154,0.2976,2.16442,1.43822,1.09293,0.009604,0.009604,0.009604
8,1970.05,1.37264,0.67487,0.91666,0.83075,0.71633,0.73002,0.31244,2.22743,1.39681,1.14251,0.009538,0.009538,0.009538
9,2207.39,1.35082,0.66037,0.91232,0.83846,0.73268,0.74156,0.32223,2.12235,1.31406,1.09698,0.009472,0.009472,0.009472
10,2453.06,1.312,0.63664,0.90363,0.80085,0.70147,0.71057,0.312,2.13575,1.42412,1.08199,0.009406,0.009406,0.009406
11,2716.94,1.27816,0.61617,0.89865,0.82993,0.73671,0.75247,0.33124,2.12819,1.3632,1.08965,0.00934,0.00934,0.00934
12,2981.89,1.2625,0.60708,0.89502,0.81777,0.73113,0.73676,0.31877,2.1162,1.35651,1.08416,0.009274,0.009274,0.009274
13,3240.91,1.24121,0.59574,0.88977,0.82841,0.73436,0.72815,0.3085,2.1513,1.37164,1.08294,0.009208,0.009208,0.009208
14,3500.12,1.21666,0.58346,0.88597,0.81373,0.73293,0.73019,0.31294,2.17908,1.38967,1.09073,0.009142,0.009142,0.009142
15,3741.06,1.1974,0.57296,0.88222,0.82193,0.72865,0.72922,0.30003,2.24383,1.44542,1.12025,0.009076,0.009076,0.009076
16,3985.56,1.17504,0.55907,0.8773,0.80673,0.73252,0.72938,0.31632,2.16306,1.38046,1.11458,0.00901,0.00901,0.00901
17,4240.29,1.16211,0.55457,0.87607,0.8139,0.71416,0.69504,0.28891,2.21686,1.3896,1.09842,0.008944,0.008944,0.008944
18,4471.85,1.13579,0.54052,0.873,0.84164,0.73284,0.74108,0.32497,2.14238,1.3722,1.09457,0.008878,0.008878,0.008878
19,4701.8,1.12572,0.5375,0.86994,0.8664,0.74334,0.76434,0.33973,2.13864,1.37423,1.09221,0.008812,0.008812,0.008812
20,4931.24,1.11232,0.53052,0.86786,0.84335,0.74143,0.75117,0.31504,2.17493,1.37763,1.09278,0.008746,0.008746,0.008746
21,5160.94,1.08868,0.51966,0.86549,0.85648,0.73332,0.74741,0.31177,2.1874,1.40542,1.11692,0.00868,0.00868,0.00868
22,5391.36,1.08088,0.51503,0.86319,0.83134,0.72952,0.74332,0.30525,2.18231,1.3574,1.10213,0.008614,0.008614,0.008614
23,5621.86,1.0635,0.50527,0.86101,0.83354,0.72939,0.74283,0.30848,2.16075,1.35833,1.0909,0.008548,0.008548,0.008548
24,5851.37,1.05156,0.50289,0.85935,0.82166,0.73325,0.74339,0.30122,2.16409,1.34505,1.07906,0.008482,0.008482,0.008482
25,6081.28,1.0309,0.49112,0.8566,0.846,0.73232,0.76196,0.32185,2.15259,1.33832,1.0917,0.008416,0.008416,0.008416
26,6311.23,1.02761,0.49279,0.85427,0.85119,0.72997,0.7608,0.32407,2.1651,1.36494,1.10111,0.00835,0.00835,0.00835
